"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"ctlCD4+T","ctlCD8+T","HLA-A","CD8A",0.0333125790821618,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"ctlCD8+T","ctlCD8+T","HLA-A","CD8A",0.0663514164221084,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"emCD8+T","ctlCD8+T","HLA-A","CD8A",0.0666407264282738,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"gdT","ctlCD8+T","HLA-A","CD8A",0.160258572928951,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"hCD4+T","ctlCD8+T","HLA-A","CD8A",0.063656208796698,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"mB_cells","ctlCD8+T","HLA-A","CD8A",0.0565600736737858,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"nCD8+T","ctlCD8+T","HLA-A","CD8A",0.0554182253007767,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"pDC","ctlCD8+T","HLA-A","CD8A",0.0539801984556957,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD16+Mono","nCD8+T","HLA-A","CD8A",0.127243901654655,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Cycling","nCD8+T","HLA-A","CD8A",0.1362872172621,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"MAIT","nCD8+T","HLA-A","CD8A",0.161428777496254,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK","nCD8+T","HLA-A","CD8A",0.0579791845015734,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Plasma_B","nCD8+T","HLA-A","CD8A",0.155313123542282,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Treg","nCD8+T","HLA-A","CD8A",0.0653256905631554,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"cDC2","nCD8+T","HLA-A","CD8A",0.118832400895601,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"cmCD8+T","nCD8+T","HLA-A","CD8A",0.139089924769101,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"ctlCD4+T","nCD8+T","HLA-A","CD8A",0.0324943010995474,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"ctlCD8+T","nCD8+T","HLA-A","CD8A",0.0647759652983941,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"emCD8+T","nCD8+T","HLA-A","CD8A",0.0650588845899683,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"gdT","nCD8+T","HLA-A","CD8A",0.156827921734882,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"hCD4+T","nCD8+T","HLA-A","CD8A",0.0621404935085669,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"mB_cells","nCD8+T","HLA-A","CD8A",0.0552033625618845,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"nCD8+T","nCD8+T","HLA-A","CD8A",0.054087333555053,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"pDC","nCD8+T","HLA-A","CD8A",0.0526819154219459,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD16+Mono","MAIT","HLA-B","CD8A",0.107539569167392,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Cycling","MAIT","HLA-B","CD8A",0.0821631263250826,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"MAIT","MAIT","HLA-B","CD8A",0.101058969968557,0.01,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK","MAIT","HLA-B","CD8A",0.0412684640128216,0.04,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Plasma_B","MAIT","HLA-B","CD8A",0.116219106763346,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
